[PokaPoka @ 99151ms/12s/1m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 208459ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(694-638)] with expected peak @ (x:694, y:100)
[PokaPoka @ 226412ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(697-626)] with expected peak @ (x:697, y:100)
[PokaPoka @ 242097ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(700-612)] with expected peak @ (x:700, y:100)
[PokaPoka @ 258816ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(703-596)] with expected peak @ (x:703, y:100)
[PokaPoka @ 274216ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(706-578)] with expected peak @ (x:706, y:100)
[PokaPoka @ 291032ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(709-558)] with expected peak @ (x:709, y:100)
[PokaPoka @ 306384ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(712-536)] with expected peak @ (x:712, y:100)
[PokaPoka @ 324580ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(715-512)] with expected peak @ (x:715, y:100)
[PokaPoka @ 339957ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(718-486)] with expected peak @ (x:718, y:100)
[PokaPoka @ 356341ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(721-458)] with expected peak @ (x:721, y:100)
[PokaPoka @ 372769ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(724-428)] with expected peak @ (x:724, y:100)
[PokaPoka @ 386183ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(667-668)] with expected peak @ (x:667, y:100)
[PokaPoka @ 402850ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(670-668)] with expected peak @ (x:670, y:100)
[PokaPoka @ 419560ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(673-666)] with expected peak @ (x:673, y:100)
[PokaPoka @ 436188ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(676-662)] with expected peak @ (x:676, y:100)
[PokaPoka @ 452849ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(679-656)] with expected peak @ (x:679, y:100)
[PokaPoka @ 469545ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(682-648)] with expected peak @ (x:682, y:100)
[PokaPoka @ 486745ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(685-638)] with expected peak @ (x:685, y:100)
[PokaPoka @ 502833ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(688-626)] with expected peak @ (x:688, y:100)
[PokaPoka @ 520494ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(691-612)] with expected peak @ (x:691, y:100)
[PokaPoka @ 536744ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(694-596)] with expected peak @ (x:694, y:100)
[PokaPoka @ 552725ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(697-578)] with expected peak @ (x:697, y:100)
[PokaPoka @ 569551ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(700-558)] with expected peak @ (x:700, y:100)
[PokaPoka @ 586176ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(703-536)] with expected peak @ (x:703, y:100)
[PokaPoka @ 603617ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(706-512)] with expected peak @ (x:706, y:100)
[PokaPoka @ 619621ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(709-486)] with expected peak @ (x:709, y:100)
[PokaPoka @ 637023ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(712-458)] with expected peak @ (x:712, y:100)
[PokaPoka @ 654609ms/19s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(715-428)] with expected peak @ (x:715, y:100)
[PokaPoka @ 360031ms/21s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(661-668)] with expected peak @ (x:661, y:100)
[PokaPoka @ 376604ms/21s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(664-668)] with expected peak @ (x:664, y:100)
[PokaPoka @ 392830ms/21s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(667-666)] with expected peak @ (x:667, y:100)
[PokaPoka @ 409367ms/21s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(670-662)] with expected peak @ (x:670, y:100)
[PokaPoka @ 425512ms/21s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(673-656)] with expected peak @ (x:673, y:100)
[PokaPoka @ 441878ms/21s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(676-648)] with expected peak @ (x:676, y:100)
