[PokaPoka @ 153533ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(674.0-628)] with expected peak @ (x:674.0, y:100)
[PokaPoka @ 167492ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-588)] with expected peak @ (x:679, y:100)
[PokaPoka @ 167492ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(677.0-608)] with expected peak @ (x:677.0, y:100)
[PokaPoka @ 180487ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-568)] with expected peak @ (x:679, y:100)
[PokaPoka @ 430916ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-719)] with expected peak @ (x:965, y:100)
[PokaPoka @ 443871ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-699)] with expected peak @ (x:965, y:100)
[PokaPoka @ 458358ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-677)] with expected peak @ (x:965, y:100)
[PokaPoka @ 472966ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-653)] with expected peak @ (x:965, y:100)
[PokaPoka @ 486297ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-627)] with expected peak @ (x:965, y:100)
[PokaPoka @ 609771ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-728)] with expected peak @ (x:679, y:100)
[PokaPoka @ 623953ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-700)] with expected peak @ (x:679, y:100)
[PokaPoka @ 639118ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-670)] with expected peak @ (x:679, y:100)
[PokaPoka @ 654076ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-638)] with expected peak @ (x:679, y:100)
[PokaPoka @ 749832ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(803.0-718)] with expected peak @ (x:803.0, y:100)
[PokaPoka @ 763791ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(806.0-718)] with expected peak @ (x:806.0, y:100)
[PokaPoka @ 777746ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(809.0-716)] with expected peak @ (x:809.0, y:100)
[PokaPoka @ 792736ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-712)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 807667ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(815.0-706)] with expected peak @ (x:815.0, y:100)
[PokaPoka @ 822326ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(818.0-698)] with expected peak @ (x:818.0, y:100)
[PokaPoka @ 836230ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(821.0-688)] with expected peak @ (x:821.0, y:100)
[PokaPoka @ 849198ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-720)] with expected peak @ (x:965, y:100)
[PokaPoka @ 850196ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(824.0-676)] with expected peak @ (x:824.0, y:100)
[PokaPoka @ 863160ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-698)] with expected peak @ (x:965, y:100)
[PokaPoka @ 863160ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(827.0-662)] with expected peak @ (x:827.0, y:100)
[PokaPoka @ 876125ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-674)] with expected peak @ (x:965, y:100)
[PokaPoka @ 877127ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(830.0-646)] with expected peak @ (x:830.0, y:100)
[PokaPoka @ 893080ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-648)] with expected peak @ (x:965, y:100)
[PokaPoka @ 893080ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(833.0-628)] with expected peak @ (x:833.0, y:100)
[PokaPoka @ 907040ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-620)] with expected peak @ (x:965, y:100)
[PokaPoka @ 18060ms/46s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-725)] with expected peak @ (x:679, y:100)
[PokaPoka @ 32057ms/46s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-703)] with expected peak @ (x:679, y:100)
[PokaPoka @ 46983ms/46s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-679)] with expected peak @ (x:679, y:100)
[PokaPoka @ 58951ms/46s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-653)] with expected peak @ (x:679, y:100)
